order_id,order_date,customer_id,employee_id,product_name,category,quantity,unit_price,discount_pct,payment_method,order_status,sales_channel,shipping_address,order_notes
O000059,2022-03-27 03:39:00,C00779,E0113,UPS,Mobile Devices,8,999,0.15, credit card ,,Store,467 Mabini St.,Call customer
O000060,2022-12-27 03:05:00,C00881,E0003,Tablet, Computer Accessories ,9,19999,0.05,GCash,Shipped,Marketplace,739 Quezon St.,Urgent
O000061,2025-09-27 18:38:00,C00993,E0117, Monitor,Mobile Devices,10,7999,0.03,Debit Card,Processing,Online,266 Main St.,
O000062,2024-05-15 03:23:00,C00614,E0159,Laptop,Electronics,8,1499,0.03,,Processing,Online,351 Mabini St.,
O000063,2023-08-08 01:15:00,C00578,E0235,External Drive,Office Furniture,1,14999,0.1,Debit Card,Shipped,,"Unit 12, Building 19",Urgent
O000064,2023-05-30 15:53:00,C00061,E0197,Monitor, Mobile Devices,5,7999,0.15,PayPal,Cancelled,online,409 Mabini St.,
O000065,2025-01-19 00:33:00,C00111,E0250,Office Chair, networking ,8,799,0.2,Cash,Processing,Online,"Unit 12, Building 34",Urgent
O000066,2024-03-31 05:07:00,C00881,E0136,Smartphone,Networking,1,499,0.15,GCash,Pending,STORE,6 Mabini St.,Urgent
O000067,2024-06-19 08:53:00,C00247,E0213,Keyboard,,7,999,0.15,Cash,Delivered,Online,319 Mabini St.,
O000068,2024-07-04 18:31:00,C00600,E0061,Webcam,mobile devices,2,1999,0.05,PayPal,,Store,684 Main St.,Deliver after 5PM
O000069,2024-10-24 01:51:00,C00542,E0127,Smartphone,Electronics,10,7999,0.15,GCash,Pending,online,"Unit 10, Building 7",
O000070,2022-11-01 06:31:00,C00179,E0196,Office Chair,Computer Accessories,8,7999,,GCash,Cancelled,STORE, 934 main st.,
O000071,2022-10-13 00:13:00,C00109,E0023,DESK ,office furniture,9,7999,0.03,Cash,Returned,STORE,"Unit 20, Building 33",
O000072,2022-06-21 14:01:00,C00521,E0008,Projector,Electronics,9,19999,0.2,Bank Transfer,Shipped,Store,777 Main St.,Gift order
O000073,2024-11-04 11:28:00,C00048,E0108,Headset,Electronics,9,999,0.15,Credit Card,Delivered,Marketplace,610 Quezon St.,Deliver after 5PM
O000074,2024-10-20 21:52:00,C00155,E0119,Router,Mobile Devices,3,14999,0.15,PayPal,Delivered,Online,274 Main St.,Call customer
O000075,2022-07-01 18:27:00,C00182,E0125,Printer,Mobile Devices,7,499,0.03,Debit Card,shipped,,687 Quezon St.,Gift order
O000076,2025-12-08 20:18:00,C00440,E0007,Printer, Office Furniture ,7,4999,0.15,DEBIT CARD ,Processing,online,282 Bonifacio St.,Deliver after 5PM
O000077,2023-03-31 08:34:00,C00265,E0102,Headset,Mobile Devices,9,1499,0.03,,PENDING ,,255 Mabini St.,Urgent
O000078,2024-04-14 03:14:00,C00941,E0066,Office Chair,Electronics,7,499,0,,Processing,Marketplace," Unit 16, Building 10 ",
O000079,2023-01-31 22:18:00,C00759,E0124,UPS,Electronics,10,4999,,Credit Card,Cancelled,STORE,646 Main St.,Gift order
O000080,2025-02-02 04:06:00,C00807,E0058,Projector,Computer Accessories,8,1999,0,PayPal,Shipped,STORE,"Unit 20, Building 16",Deliver after 5PM
O000081,2024-06-20 09:59:00,C00349,E0151,Printer,Electronics,10,1999,0.05,PayPal,Shipped,online,911 Main St.,Gift order
O000082,2025-10-30 23:03:00,C00255,E0106,Router,Electronics,9,9999,0.05,Debit Card, CANCELLED,," Unit 5, Building 20 ",Gift order
O000083,2025-10-29 08:50:00,C00809,E0112,Printer,Office Furniture,10,4999,0.05,Debit Card,Delivered,Online,"Unit 10, Building 50",Urgent
O000084,2024-11-03 19:01:00,C00803,E0034,Projector,Networking,4,2999,0.1, DEBIT CARD,Processing,Online, 712 Quezon St.,Gift order
O000085,2024-05-26 15:44:00,C00400,E0008,MONITOR ,Mobile Devices,5,4999,0,Debit Card,Cancelled,Online,"Unit 1, Building 7",Gift order
O000086,2024-09-12 22:31:00,C00455,E0239,External Drive,Office Furniture,4,799,0.05,PayPal,Shipped,,832 Quezon St.,
O000087,2023-02-22 16:16:00,C00396,E0222,External Drive,Networking,6,1499,0.2,PayPal,Processing,Online,"Unit 8, Building 33",Call customer
O000088,2023-07-04 01:02:00,C00347,E0190,Keyboard,Electronics ,5,1999,0.1,PayPal,Shipped,STORE,784 Quezon St.,Gift order
O000089,2023-02-27 07:42:00,C00552,E0098, Smartphone ,Electronics,8,999,0.15,Cash,Pending,online,"Unit 2, Building 17",Urgent
O000090,2022-03-09 12:38:00,C00916,E0059,Office Chair,,6,9999,0.15,PayPal,RETURNED ,STORE,"Unit 3, Building 28",Call customer
O000091,2023-06-05 08:58:00,C00840,E0137,UPS,Electronics,5,1999,0.03,GCash,Returned,Online, 16 Mabini St.,
O000092,2023-06-08 17:47:00,C00796,E0040,UPS, mobile devices,10,14999,0.15,Credit Card,Pending,online,698 RIZAL ST.,
O000093,2024-02-20 22:16:00,C00461,E0042,Webcam,Mobile Devices,3,1499,0.15,Credit Card,Returned,online,31 Quezon St.,Deliver after 5PM
O000094,2024-11-20 01:45:00,C00016,E0048, Mouse ,Mobile Devices,4,999,0,Bank Transfer,Pending,STORE,"Unit 18, Building 44",
O000095,2022-01-23 17:05:00,C00940,E0186,Mouse,Office Furniture,4,2999,0,PayPal,Pending,Online,806 Quezon St.,Call customer
O000096,2024-04-16 18:20:00,C00469,E0214,External Drive,,1,499,0,Debit Card,Returned,online,855 Main St.,
O000097,2024-03-09 13:17:00,C00089,E0182,Monitor,Computer Accessories,1,19999,,Cash,Cancelled,online," unit 9, building 50",Urgent
O000098,2024-05-30 13:35:00,C00637,E0104,Keyboard,Networking,9,999,0.15,GCash,Delivered,STORE,"Unit 4, Building 31",
O000099,2024-01-16 00:23:00,C00466,E0230,,Mobile Devices,7,999,0.15,Cash,Processing,,783 Mabini St.,Call customer
O000100,2022-06-11 17:54:00,C00344,E0131,Office Chair,Electronics,6,999,0.05,Bank Transfer,Pending,Store,500 Mabini St.,
O000101,2025-01-14 21:51:00,C00963,E0036,Desk,Computer Accessories ,3,1999,0.1,GCASH,Shipped,Marketplace,"Unit 4, Building 36",Call customer
O000102,2024-09-22 01:20:00,C00891,E0094,Headset,,3,499,, paypal,Shipped,Online,"Unit 7, Building 9",Gift order
O000103,2022-12-30 16:10:00,C00006,E0015,Monitor,Mobile Devices,10,2999,0.05, credit card,Cancelled,Marketplace,"Unit 3, Building 4",
O000104,2025-11-30 01:05:00,C00112,E0209, SMARTPHONE,Office Furniture,6,499,, bank transfer ,Pending,STORE,"Unit 1, Building 31",
O000105,2022-06-27 16:36:00,C00145,E0205,Tablet,Networking,9,2999,0.2,GCash,Delivered,STORE,264 Mabini St.,
O000106,2022-06-30 19:50:00,C00085,E0055,UPS, ELECTRONICS,3,7999,0.15,PayPal,Processing,Online,"Unit 7, Building 47",Deliver after 5PM
O000107,2023-05-11 10:55:00,C00446,E0010,Router,Computer Accessories,7,9999,0.15,Credit Card,Shipped,STORE,516 Rizal St.,Urgent
O000108,2024-02-23 20:54:00,C00836,E0114,UPS,Electronics,3,9999,0.1,Bank Transfer, shipped,,"Unit 20, Building 3",Call customer
O000109,2022-08-08 01:31:00,C00103,E0244,Monitor,Networking,1,19999,0.03, bank transfer ,Shipped,online, 699 Quezon St.,Call customer
O000110,2023-04-24 10:52:00,C00683,E0035,Keyboard,Office Furniture,2,,0,GCash,,online,778 Main St.,
O000111,2023-01-10 11:51:00,C00449,E0073,Laptop, NETWORKING ,5,7999,0,GCash,Shipped,STORE, 691 mabini st.,Urgent
O000112,2023-09-15 23:00:00,C00900,E0055,desk ,Electronics,2,499,0,PayPal,Pending,,"Unit 20, Building 12",Urgent
O000113,2024-02-05 21:36:00,C00987,E0125,Tablet,Electronics,1,2999,0.1,Bank Transfer,cancelled ,Online,"Unit 16, Building 33",Urgent
O000114,2023-03-23 21:12:00,C00231,E0006,Laptop,Networking,5,14999,,Credit Card,Pending,,357 Main St.,Call customer
O000115,2023-06-07 04:57:00,C00063,E0161,Keyboard,Mobile Devices,5,799,0.15,Credit Card,Processing,Online,72 Main St.,Gift order
O000116,2025-10-18 01:22:00,C00015,E0039,UPS,Electronics,9,9999,0.03,Bank Transfer,Processing,Online,"Unit 15, Building 22",Deliver after 5PM
O000117,2023-01-17 02:10:00,C00247,E0108,Smartphone,Computer Accessories,7,1999,, PayPal,Pending,online,912 Main St.,
O000118,2022-07-06 11:53:00,C00102,E0166,External Drive,computer accessories ,9,499,0.03,GCash,,Marketplace,580 Main St.,Urgent
O000119,2025-01-01 11:21:00,C00707,E0250,Headset ,MOBILE DEVICES ,2,14999,0.1,Credit Card,Returned,Store,69 Bonifacio St.,Deliver after 5PM
O000120,2024-09-09 05:51:00,C00142,E0044,Router,,6,1999,0.15,Credit Card,Cancelled,Store, 641 RIZAL ST.,
O000121,2023-03-09 23:08:00,C00592,E0155,Router,Electronics,2,799,0.05,PayPal,Pending,Marketplace,960 Rizal St.,Gift order
O000122,2024-01-06 04:44:00,C00778,E0034, WEBCAM ,,4,2999,,Cash,Cancelled,online,468 Quezon St.,Urgent
O000123,2022-09-28 02:43:00,C00761,E0019,Headset,mobile devices,10,799,0.2,Credit Card ,Returned,Marketplace, 69 Bonifacio St.,
O000124,2024-05-09 15:00:00,C00428,E0216,UPS,Electronics,6,4999,,PayPal, processing ,Marketplace,596 Mabini St.,Gift order
O000125,2024-03-12 06:43:00,C00663,E0155, Desk,Networking ,4,1499,0.05,Debit Card,Shipped,online,"Unit 11, Building 42",Urgent
O000126,2022-07-27 21:32:00,C00974,E0176, tablet,Office Furniture,1,9999,0.15,paypal ,Processing,Store,909 Rizal St.,
O000127,2022-04-28 11:34:00,C00829,E0177, mouse,Networking,4,1999,0,Debit Card,Shipped,online,"Unit 19, Building 44",Gift order
O000128,2024-04-02 18:45:00,C00578,E0121,Projector,Networking,6,1499,0.05,GCash,Delivered,Online, 442 Rizal St. ,
O000129,2022-01-17 18:21:00,C00409,E0153,Keyboard,Office Furniture,5,9999,,Bank Transfer,Delivered ,online,"Unit 5, Building 16",Deliver after 5PM
O000130,2022-09-01 08:11:00,C00558,E0150,Mouse,Computer Accessories,5,499,0.2,Cash,Shipped,Store,"Unit 15, Building 37",Gift order
O000131,2023-04-08 03:58:00,C00963,E0136,Projector, Computer Accessories ,1,9999,0.1,GCash,Cancelled,Store,215 Mabini St.,Deliver after 5PM
O000132,2024-08-01 08:17:00,C00891,E0166,UPS,Electronics,1,799,0.03,Bank Transfer,Returned,Store,927 Quezon St.,Gift order
O000133,2025-10-28 10:26:00,C00848,E0012,UPS,Office Furniture,8,499,0.2,Bank Transfer,,Marketplace,334 Bonifacio St.,Gift order
O000134,2025-10-29 05:46:00,C00123,E0109,Laptop,Computer Accessories,5,999,0.03,PayPal,Processing,STORE,826 Main St.,Urgent
O000135,2024-02-14 19:22:00,C00661,E0048,Tablet,Networking,9,4999,0.15, Debit Card,Returned,Store,"Unit 5, Building 41",Deliver after 5PM
O000136,2023-01-25 16:38:00,C00849,E0229,External Drive,Office Furniture,1,1999,0.2,Credit Card,Pending,Online,"UNIT 3, BUILDING 4",
O000137,2024-11-01 05:53:00,C00406,E0026,Office Chair,Mobile Devices,7,499,0.03,GCash,Returned,,"Unit 14, Building 46",Call customer
O000138,2024-04-04 15:12:00,C00708,E0040,Keyboard,,5,999,0.03,Cash,Shipped,Store,355 Bonifacio St. ,Gift order
O000139,2023-01-10 19:21:00,C00740,E0123,Projector,Electronics,1,4999,,Cash,Shipped,online,"Unit 8, Building 1",Urgent
O000140,2025-02-18 09:49:00,C00794,E0099,Keyboard,Electronics,,999,0.03,Debit Card,Processing,,"Unit 13, Building 5",Gift order
O000141,2022-04-03 11:20:00,C00089,E0110,Router,Electronics,2,999,0.05,PayPal,Delivered,STORE,"Unit 19, Building 47",Urgent
O000142,2025-04-25 10:28:00,C00141,E0005,Printer,Electronics,6,999,,PayPal,Processing,Online,154 Mabini St.,Gift order
O000143,2025-06-24 12:29:00,C00221,E0019,Keyboard,Networking,8,4999,0.1,GCash,Processing,Online,"Unit 19, Building 34",Gift order
O000144,2023-12-23 07:53:00,C00789,E0098,Office Chair,Electronics,10,1999,0.2,PayPal,Cancelled,Store, 239 Main St.,Call customer
O000145,2024-09-22 12:17:00,C00144,E0108,Webcam,Office Furniture,8,1999,0,PayPal,Delivered,STORE,459 Bonifacio St.,Urgent
O000146,2024-02-29 11:27:00,C00323,E0179,Mouse,Electronics,5,2999,0.05,Bank Transfer,Cancelled,Store,986 Quezon St.,Deliver after 5PM
O000147,2025-08-24 11:08:00,C00478,E0185, Laptop ,Computer Accessories,4,2999,0.15,PayPal,Shipped,Online,"Unit 20, Building 19",Call customer
O000148,2023-07-31 13:42:00,C00764,E0057,Printer,Electronics,5,2999,0.05,Debit Card,Delivered,STORE,"Unit 20, Building 16",Gift order
O000149,2023-08-07 07:36:00,C00674,E0180, Webcam,Mobile Devices,,1999,,GCash,Returned,STORE,"UNIT 17, BUILDING 38",Deliver after 5PM
O000150,2024-07-01 04:03:00,C00921,E0219,Webcam,Office Furniture,2,7999,0.05,Bank Transfer,Delivered,Store, 880 RIZAL ST. ,
O000151,2022-10-31 23:39:00,C00110,E0035,External Drive ,Networking,1,499,0.05,GCash,Delivered,STORE,"Unit 1, Building 36",
O000152,2025-03-20 19:13:00,C00407,E0100,MOUSE ,Computer Accessories,6,9999,0.05,Credit Card,Delivered ,Store,200 Mabini St.,Urgent
O000153,2025-09-05 03:01:00,C00821,E0169,Desk,Mobile Devices,8,14999,0.2,Cash,Returned,,"Unit 19, Building 18",
O000154,2022-11-10 20:05:00,C00310,E0054,Projector,Computer Accessories,8,1999,0,Debit Card,Processing,online,"Unit 6, Building 29",Urgent
O000155,2023-02-12 06:08:00,C00411,E0147,Monitor,Electronics,,,0.05,Credit Card,Delivered,Online,"Unit 14, Building 30",
O000156,2024-06-15 13:09:00,C00921,E0192,Laptop ,Electronics,10,14999,0.03,Credit Card,Returned,Marketplace,836 Quezon St.,
O000157,2022-09-27 01:08:00,C00760,E0205,UPS,Electronics,8,799,,Credit Card,Returned,Marketplace,"Unit 2, Building 29",Call customer
O000158,2025-09-14 17:29:00,C00267,E0106,Monitor,Mobile Devices,8,19999,,Credit Card,Pending,,555 Rizal St.,Gift order
O000159,2025-07-12 04:21:00,C00801,E0177,Office Chair,Mobile Devices,3,999,0.15,Debit Card,Returned,Store,498 Rizal St.,
O000160,2022-09-24 02:05:00,C00355,E0177,Webcam,mobile devices ,9,7999,0.2,Cash,Delivered,Online,"unit 20, building 10",Urgent
O000161,2025-05-10 10:47:00,C00969,E0100,Router,Computer Accessories,8,799,0.1, Credit Card , Processing,,"Unit 19, Building 42",Urgent
O000162,2023-02-04 23:47:00,C00899,E0232,,Mobile Devices,4,1499,0.1,Bank Transfer,Cancelled,Online,278 Quezon St.,Deliver after 5PM
O000163,2025-10-31 12:49:00,C00699,E0115,Headset,Computer Accessories,2,14999,,PayPal,Processing,STORE,"Unit 14, Building 15 ",Urgent
O000164,2022-11-24 11:36:00,C00146,E0208,Tablet, Computer Accessories ,7,799,0,Bank Transfer,Processing,Marketplace,"Unit 13, Building 15",
O000165,2022-11-12 20:26:00,C00387,E0020,Office Chair,Mobile Devices,5,19999,0.1,PayPal, SHIPPED,Online,45 Mabini St.,Urgent
O000166,2022-05-12 20:05:00,C00524,E0170,UPS,Office Furniture,2,999,0.05,Bank Transfer,Cancelled,online,306 Main St.,Call customer
O000167,2025-02-13 17:03:00,C00814,E0100,Keyboard,Mobile Devices,5,999,0,Bank Transfer,Cancelled,Marketplace,"Unit 13, Building 41",Gift order
O000168,2023-09-29 23:07:00,C00145,E0184,UPS, Computer Accessories ,3,1499,0.15,PAYPAL,Pending,online, 961 bonifacio st.,Gift order
O000169,2025-04-19 19:38:00,C00204,E0029,Router,Electronics,10,9999,0.2,Bank Transfer,Pending,,"Unit 2, Building 1",
O000170,2022-11-27 17:21:00,C00048,E0084, External Drive,Computer Accessories,7,,0.2,Cash,Cancelled,online,863 BONIFACIO ST. ,Gift order
O000171,2024-06-12 07:54:00,C00690,E0203,UPS,Computer Accessories,9,1499,0.1,Bank Transfer,Pending,,"Unit 13, Building 12",Urgent
O000172,2024-06-07 17:19:00,C00161,E0052,UPS,Mobile Devices,1,799,,PayPal,Shipped,online,"Unit 3, Building 34",
O000173,2025-12-05 00:25:00,C00645,E0186,Office Chair,,8,4999,,GCash,Returned,Store,"Unit 20, Building 9",Gift order
O000174,2022-08-28 14:58:00,C00253,E0139,Router,Networking,6,14999,0.2, PayPal ,Delivered,Store,627 Mabini St.,Urgent
O000175,2023-09-23 19:32:00,C00446,E0161,,Networking,3,2999,0.2,Credit Card,,Marketplace,"Unit 5, Building 49",Call customer
O000176,2022-05-09 14:36:00,C00469,E0079,Smartphone,Office Furniture,8,499,0.15,PayPal,Cancelled,Marketplace," Unit 7, Building 39 ",Gift order
O000177,2024-11-28 20:21:00,C00300,E0199,Tablet,Office Furniture,10,9999,0.1,Cash,Processing,STORE,826 Quezon St. ,Gift order
O000178,2022-10-13 14:02:00,C00558,E0046,Printer,Office Furniture,5,9999,,Cash,Pending,STORE,587 Bonifacio St.,Call customer
O000179,2025-09-27 17:35:00,C00567,E0089,Desk,,10,7999,0,Bank Transfer,PENDING,,"Unit 19, Building 50",
O000180,2024-01-03 12:18:00,C00681,E0217,UPS,Networking,5,14999,0.15,Cash,Delivered,Online,670 Main St.,
O000181,2022-03-13 00:07:00,C00278,E0236,Printer,Office Furniture ,7,2999,0.03,Bank Transfer,Shipped,STORE,"Unit 12, Building 11",Gift order
O000182,2022-10-18 04:07:00,C00955,E0109,External Drive ,,10,14999,0.05,Credit Card,Returned,Marketplace,"Unit 9, Building 32",Gift order
O000183,2023-09-14 17:18:00,C00099,E0218,Projector,Mobile Devices,6,14999,0.03,Cash,Pending,Marketplace,342 Mabini St.,Deliver after 5PM
O000184,2022-04-26 00:47:00,C00070,E0238,Router,Computer Accessories,3,19999,,PayPal ,Delivered,STORE,"Unit 8, Building 40",
O000185,2025-10-14 10:35:00,C00355,E0036,Router,Electronics,3,14999,,GCash,Shipped,online,69 Main St.,Deliver after 5PM
O000186,2022-07-09 08:28:00,C00366,E0198,Keyboard,Mobile Devices,5,7999,0.03,PayPal,Delivered,STORE,471 RIZAL ST. ,Urgent
O000187,2022-09-13 16:13:00,C00187,E0110,UPS , mobile devices ,2,1499,0.15,Cash,Cancelled,Marketplace,701 Main St.,Call customer
O000188,2024-04-16 10:53:00,C00052,E0026,Webcam,Electronics,6,1499,0.15,PayPal,Shipped,online,"Unit 16, Building 29",Deliver after 5PM
O000189,2024-03-25 18:59:00,C00590,E0066,UPS,Networking,4,1499,0.15,debit card ,Pending,online,234 Bonifacio St.,
O000190,2025-12-22 10:10:00,C00175,E0167,Printer,Mobile Devices,9,14999,0.05,Debit Card,Returned,online,"Unit 15, Building 11",Gift order
O000191,2023-11-04 20:45:00,C00607,E0014, Keyboard,Mobile Devices,9,999,,PayPal,Pending,Marketplace,"Unit 7, Building 41",Gift order
O000192,2022-01-30 10:48:00,C00273,E0204,UPS,Networking,5,1999,,Credit Card,Delivered,Online,85 Rizal St.,Deliver after 5PM
O000193,2023-12-01 13:54:00,C00855,E0138,Monitor,Office Furniture,2,14999,0.1,Cash,Cancelled,,"Unit 4, Building 29",Call customer
